fase,time_mandante,time_visitante,data_hora,grupo
Fase de Grupos,México,África do Sul,2026-06-11 16:00,Grupo A
Fase de Grupos,Itália,Coreia do Sul,2026-06-11 23:00,Grupo A
Fase de Grupos,Canadá,Omã,2026-06-12 16:00,Grupo B
Fase de Grupos,Suíça,Gana,2026-06-12 19:00,Grupo B
Fase de Grupos,Estados Unidos,Peru,2026-06-12 22:00,Grupo D
Fase de Grupos,Uruguai,Iraque,2026-06-13 13:00,Grupo C
Fase de Grupos,Croácia,Marruecos,2026-06-13 16:00,Grupo C
Fase de Grupos,Brasil,Escócia,2026-06-13 19:00,Grupo E
Fase de Grupos,Irlanda,Mali,2026-06-13 22:00,Grupo E
Fase de Grupos,Dinamarca,Áustria,2026-06-14 13:00,Grupo D
Fase de Grupos,Alemanha,Costa Rica,2026-06-14 16:00,Grupo F
Fase de Grupos,Japão,Camarões,2026-06-14 19:00,Grupo F
Fase de Grupos,Espanha,Honduras,2026-06-15 13:00,Grupo G
Fase de Grupos,Nigéria,Uzbequistão,2026-06-15 16:00,Grupo G
Fase de Grupos,França,Austrália,2026-06-15 19:00,Grupo H
Fase de Grupos,Gales,Jamaica,2026-06-15 22:00,Grupo H
Fase de Grupos,Argentina,Fiji,2026-06-16 13:00,Grupo I
Fase de Grupos,Suécia,Argélia,2026-06-16 16:00,Grupo I
Fase de Grupos,Bélgica,Nova Zelândia,2026-06-16 19:00,Grupo J
Fase de Grupos,Equador,Zâmbia,2026-06-16 22:00,Grupo J
Fase de Grupos,Inglaterra,Angola,2026-06-17 13:00,Grupo K
Fase de Grupos,Polónia,Catar,2026-06-17 16:00,Grupo K
Fase de Grupos,Portugal,Panamá,2026-06-17 19:00,Grupo L
Fase de Grupos,Tunísia,Emirados Árabes,2026-06-17 22:00,Grupo L
Fase de Grupos,México,Itália,2026-06-18 16:00,Grupo A
Fase de Grupos,África do Sul,Coreia do Sul,2026-06-18 19:00,Grupo A
Fase de Grupos,Canadá,Suíça,2026-06-18 22:00,Grupo B
Fase de Grupos,Omã,Gana,2026-06-19 13:00,Grupo B
Fase de Grupos,Uruguai,Croácia,2026-06-19 16:00,Grupo C
Fase de Grupos,Iraque,Marruecos,2026-06-19 19:00,Grupo C
Fase de Grupos,Estados Unidos,Dinamarca,2026-06-19 22:00,Grupo D
Fase de Grupos,Peru,Áustria,2026-06-20 13:00,Grupo D
Fase de Grupos,Brasil,Irlanda,2026-06-20 16:00,Grupo E
Fase de Grupos,Escócia,Mali,2026-06-20 19:00,Grupo E
Fase de Grupos,Alemanha,Japão,2026-06-20 22:00,Grupo F
Fase de Grupos,Costa Rica,Camarões,2026-06-21 13:00,Grupo F
Fase de Grupos,Espanha,Nigéria,2026-06-21 16:00,Grupo G
Fase de Grupos,Honduras,Uzbequistão,2026-06-21 19:00,Grupo G
Fase de Grupos,França,Gales,2026-06-21 22:00,Grupo H
Fase de Grupos,Austrália,Jamaica,2026-06-22 13:00,Grupo H
Fase de Grupos,Argentina,Suécia,2026-06-22 16:00,Grupo I
Fase de Grupos,Fiji,Argélia,2026-06-22 19:00,Grupo I
Fase de Grupos,Bélgica,Equador,2026-06-22 22:00,Grupo J
Fase de Grupos,Nova Zelândia,Zâmbia,2026-06-23 13:00,Grupo J
Fase de Grupos,Inglaterra,Polónia,2026-06-23 16:00,Grupo K
Fase de Grupos,Angola,Catar,2026-06-23 19:00,Grupo K
Fase de Grupos,Portugal,Tunísia,2026-06-23 22:00,Grupo L
Fase de Grupos,Panamá,Emirados Árabes,2026-06-24 13:00,Grupo L
Fase de Grupos,Coreia do Sul,México,2026-06-24 16:00,Grupo A
Fase de Grupos,Itália,África do Sul,2026-06-24 16:00,Grupo A
Fase de Grupos,Gana,Canadá,2026-06-24 19:00,Grupo B
Fase de Grupos,Suíça,Omã,2026-06-24 19:00,Grupo B
Fase de Grupos,Marruecos,Uruguai,2026-06-24 22:00,Grupo C
Fase de Grupos,Croácia,Iraque,2026-06-24 22:00,Grupo C
Fase de Grupos,Áustria,Estados Unidos,2026-06-25 13:00,Grupo D
Fase de Grupos,Dinamarca,Peru,2026-06-25 13:00,Grupo D
Fase de Grupos,Mali,Brasil,2026-06-25 16:00,Grupo E
Fase de Grupos,Irlanda,Escócia,2026-06-25 16:00,Grupo E
Fase de Grupos,Camarões,Alemanha,2026-06-25 19:00,Grupo F
Fase de Grupos,Japão,Costa Rica,2026-06-25 19:00,Grupo F
Fase de Grupos,Uzbequistão,Espanha,2026-06-26 13:00,Grupo G
Fase de Grupos,Nigéria,Honduras,2026-06-26 13:00,Grupo G
Fase de Grupos,Jamaica,França,2026-06-26 16:00,Grupo H
Fase de Grupos,Gales,Austrália,2026-06-26 16:00,Grupo H
Fase de Grupos,Argélia,Argentina,2026-06-26 19:00,Grupo I
Fase de Grupos,Suécia,Fiji,2026-06-26 19:00,Grupo I
Fase de Grupos,Zâmbia,Bélgica,2026-06-26 22:00,Grupo J
Fase de Grupos,Equador,Nova Zelândia,2026-06-26 22:00,Grupo J
Fase de Grupos,Catar,Inglaterra,2026-06-27 16:00,Grupo K
Fase de Grupos,Polónia,Angola,2026-06-27 16:00,Grupo K
Fase de Grupos,Emirados Árabes,Portugal,2026-06-27 19:00,Grupo L
Fase de Grupos,Tunísia,Panamá,2026-06-27 19:00,Grupo L
